,name,year,size,HardMark,SSD_HDD,price
225,Plextor M3 256GB PX-256M3,20Aug,238.5,3238.0,1,249.9
226,Plextor M3 512GB PX-512M3,20Nov,476.9,3922.0,1,359.9
227,Plextor M5 128GB PX-128M5S,20Sep,119.2,2656.0,1,107.9
228,Plextor M5 Pro 256GB PX-256M5P,20Nov,238.5,3542.0,1,209.9
229,Plextor M5 Pro 512 GB PX-512M5P,20Dec,476.9,3626.0,1,419.9
230,PLEXTOR PX-128M5M,20Mar,119.2,3119.0,1,179.9
231,PLEXTOR PX-128M5S,20Jun,119.2,2897.0,1,179.4
232,PLEXTOR PX-128M6M,20Jun,119.2,3350.0,1,99.9
233,PLEXTOR PX-128M6Pro,20Dec,119.2,3350.0,1,91.0
234,PLEXTOR PX-128M6S,20May,119.2,3145.0,1,69.9
235,PLEXTOR PX-128M7VG,20Sep,119.2,3380.0,1,184.9
236,PLEXTOR PX-128M8PeG,20Oct,119.2,6775.0,1,219.9
237,PLEXTOR PX-128S2C,20Dec,119.2,3268.0,1,179.9
238,PLEXTOR PX-128S2G,20Nov,119.2,3536.0,1,174.9
239,PLEXTOR PX-128S3C,20Sep,119.2,2902.0,1,208.5
240,PLEXTOR PX-1TM9PeG,20Jun,953.9,16641.0,1,136.9
241,PLEXTOR PX-1TM9PeGN,20Dec,953.9,18308.0,1,120.9
242,PLEXTOR PX-256M5M,20Jun,238.5,3418.0,1,148.9
243,PLEXTOR PX-256M5P,20Feb,238.5,3107.0,1,359.9
244,PLEXTOR PX-256M5S,20Feb,238.5,3901.0,1,193.4
245,PLEXTOR PX-256M6M,20Jul,238.5,3294.0,1,143.9
246,PLEXTOR PX-256M6Pro,20Aug,238.5,3774.0,1,84.9
247,PLEXTOR PX-256M6S,20May,238.5,3399.0,1,95.9
248,PLEXTOR PX-256M8PeG,20Sep,238.5,9945.0,1,259.1
249,PLEXTOR PX-256M8PeGN,20Dec,238.5,10536.0,1,279.9
250,PLEXTOR PX-256M8PeY,20Oct,238.5,10203.0,1,316.9
251,PLEXTOR PX-256M9PeG,20Sep,238.5,12671.0,1,42.9
252,PLEXTOR PX-256M9PeGN,20Aug,238.5,12803.0,1,39.9
253,PLEXTOR PX-256S2G,20Nov,238.5,3824.0,1,233.2
254,PLEXTOR PX-512M5Pro,20Mar,476.9,3701.0,1,274.9
255,PLEXTOR PX-512M6M,20Dec,476.9,3185.0,1,393.3
256,PLEXTOR PX-512M6Pro,20Sep,476.9,3850.0,1,329.9
257,PLEXTOR PX-512M6S,20Mar,476.9,3947.0,1,513.9
258,PLEXTOR PX-512M8PeG,20Sep,476.9,11879.0,1,399.9
259,PLEXTOR PX-512M8PeY,20Oct,476.9,10956.0,1,415.4
260,PLEXTOR PX-512M9PeG,20Jun,476.9,16028.0,1,79.9
261,PLEXTOR PX-512M9PeGN,20Jun,476.9,17224.0,1,69.9
262,PLEXTOR PX-512M9PeY,20Aug,476.9,13685.0,1,94.9
263,PLEXTOR PX-512S2G,20Mar,476.9,3322.0,1,59.9
264,PLEXTOR PX-64M5M,20May,59.6,2622.0,1,150.4
265,PLEXTOR PX-64M6M,20Aug,59.6,2862.0,1,54.9
266,PLEXTOR PX-AG128M6e,20Jun,119.2,4357.0,1,156.9
267,PLEXTOR PX-AG256M6e,20May,238.5,4978.0,1,253.9
