,name,size,latency,readRate,writeRate,Price,RAMmark
322,Crucial Technology CT102464BD186D.C16 8GB,8,73.0,6.4,4.5,43.9,285.0795495006562
323,Crucial Technology CT102464BD186D.M16 8GB,8,31.0,13.3,9.6,60.1,670.7313573873741
324,Crucial Technology CT102464BF160B.C16 8GB,8,41.28571429,12.8,8.7,28.9,504.5322044911779
325,Crucial Technology CT102464BF160B.M16 8GB,8,41.33333333,11.4,8.3,41.9,503.6032745226472
326,Crucial Technology CT102464BF186D.C16 8GB,8,32.0,12.2,8.8,76.3,649.5125525582125
327,Crucial Technology CT102464BF1339.C16 8GB,8,29.0,12.2,8.2,40.0,716.0609654253999
328,Crucial Technology CT102464BF1339.M16 8GB,8,30.0,11.1,7.8,51.9,692.0375799268667
329,Crucial Technology CT204864BD160B.16F 16GB,16,68.0,6.7,5.2,133.9,306.1161233824882
330,Crucial Technology M471B1G73DB0-YK0 8GB,8,27.0,12.8,8.7,31.2,769.020115247285
331,G Skill Intl F3-2600C10-4GTXD 4GB,4,18.0,18.3,12.4,219.9,1153.1924186033777
332,G Skill Intl F3-8500CL7-4GBRL 4GB,4,28.0,11.8,7.0,29.9,741.0701154443856
333,G Skill Intl F3-8500CL7-4GBSQ 4GB,4,30.0,8.7,5.3,19.99,690.9206601925666
334,G Skill Intl F3-10600CL9-2GBNT 2GB,2,26.0,13.2,8.4,20.4,798.4029781035538
335,G Skill Intl F3-10600CL9-4GBSQ 4GB,4,27.0,11.9,8.6,27.3,768.8374908859851
336,G Skill Intl F3-10666CL7-4GBECO 4GB,4,25.0,13.8,8.5,27.9,830.2848859090999
337,G Skill Intl F3-10666CL7-4GBRH 4GB,4,25.0,13.6,8.5,28.9,830.2505705926999
338,G Skill Intl F3-10666CL7-4GBXH 4GB,4,25.0,13.3,8.4,25.99,830.1708921805999
339,G Skill Intl F3-10666CL9-2GBNQ 2GB,2,27.0,10.8,7.0,26.9,768.1974696457851
340,G Skill Intl F3-10666CL9-2GBNS 2GB,2,25.0,12.8,7.9,18.9,829.9440767021
341,G Skill Intl F3-10666CL9-2GBSQ 2GB,2,25.0,12.0,7.8,14.99,829.778609999
342,G Skill Intl F3-10666CL9-4GBNT 4GB,4,43.0,12.8,7.7,17.9,484.3212936405883
343,G Skill Intl F3-10666CL9-4GBRL 4GB,4,37.66666667,13.9,8.6,39.9,552.7218654003831
344,G Skill Intl F3-10666CL9-4GBSQ 4GB,4,28.0,11.1,7.9,23.99,741.2038607744856
345,G Skill Intl F3-10666CL9-4GBXL 4GB,4,37.33333333,11.7,6.7,25.99,556.7005587350967
346,G Skill Intl F3-10666CL9-8GBNT 8GB,8,28.0,12.0,6.9,38.99,741.0762253232856
347,G Skill Intl F3-10666CL9-8GBXL 8GB,8,27.0,12.9,7.9,36.99,768.8116294054851
348,G Skill Intl F3-12800CL8-4GBECO 4GB,4,22.0,14.3,9.8,38.9,943.3082085544181
349,G Skill Intl F3-12800CL8-4GBRM 4GB,4,23.0,15.7,10.1,33.9,902.8464872748999
350,G Skill Intl F3-12800CL9-2GBNQ 2GB,2,24.0,14.5,9.2,26.9,864.9990803660833
351,G Skill Intl F3-12800CL9-2GBRL 2GB,2,24.0,14.4,9.2,24.9,864.9819227078833
352,G Skill Intl F3-12800CL9-4GBRL 4GB,4,38.39130435,13.8,8.9,22.99,542.447472745172
353,G Skill Intl F3-12800CL9-4GBSK 4GB,4,25.0,13.9,8.1,26.9,830.1892218173
354,G Skill Intl F3-12800CL9-4GBSQ 4GB,4,25.0,13.1,8.3,20.9,830.1083714266999
355,G Skill Intl F3-12800CL9-4GBSR 4GB,4,37.25,14.5,8.9,29.9,559.0381892691174
356,G Skill Intl F3-12800CL9-4GBX 4GB,4,21.0,15.3,10.1,24.99,988.2353790944808
357,G Skill Intl F3-12800CL9-4GBXL 4GB,4,38.76271186,14.1,9.2,24.9,537.4328046522553
358,G Skill Intl F3-12800CL10-8GBXL 8GB,8,40.6,13.7,8.5,38.99,513.0729793966142
359,G Skill Intl F3-12800CL11-4GBSQ 4GB,4,27.0,13.9,8.6,27.9,769.1806440499851
360,G Skill Intl F3-14900CL9-4GBXL 4GB,4,32.75,15.4,10.5,29.9,635.7715349491549
361,G Skill Intl F3-14900CL10-8GBXL 8GB,8,38.125,14.2,8.9,41.9,546.2710431330476
362,G Skill Intl F3-16000CL9-4GBRM 4GB,4,25.0,13.0,8.0,44.9,830.0065974559999
363,Heoriady 16KTF1G64HZ-1G6E1 8GB,8,29.0,12.3,9.1,26.0,716.3319720210999
364,Hynix Semiconductor (Hyundai Electronics) HMT325S6,25,28.0,10.6,7.2,99.0,740.9206344209856
365,Hynix Semiconductor (Hyundai Electronics) M391B1G73AH0-YH9 8GB,8,26.0,14.1,8.1,50.4,798.4727807148538
366,Kingston 16KTF1G64HZ-1G6E1 8GB,8,28.0,11.1,8.6,59.5,741.4012988369856
367,Kingston HX316C10F/8 8GB,8,29.0,13.3,7.9,89.9,716.1650833530999
368,Kingston K531R8-HYA 4GB,4,37.0,13.7,8.2,21.0,562.4470037578595
369,Kingston KHX16 4GB,4,24.0,9.7,4.0,45.9,862.7088300224833
370,Kingston KHX1600C9D3/4G 4GB,4,24.0,14.0,9.4,83.8,864.9697029500833
371,Kingston KHX1600C9D3LK2/4GX 2GB,2,20.0,16.0,9.7,28.9,1037.380736362
372,Kingston KHX1600C9D3LK2/8GX 4GB,4,24.0,14.6,9.5,135.8,865.1008543367833
373,Kingston KHX1600C9S3K2/8GX 4GB,4,27.0,13.2,8.6,54.9,769.060540442585
374,Kingston KN2M64-ETB 8GB,8,43.0,11.3,8.0,44.9,484.14854508008835
375,Kingston KNWMX1-ETB 4GB,4,31.0,11.2,6.9,19.9,669.6094997526741
376,Kingston KNWMX1-HYA 4GB,4,37.0,12.0,8.1,20.0,562.1271181309595
377,Kingston KR1P74-HYC 4GB,4,33.0,8.5,6.6,157.9,628.7136468598787
378,Kingston KTW149-ELD 1GB,1,28.0,14.5,8.0,11.9,741.8154265907856
379,Micron Technology 8JTF51264AZ-1G6E1 4GB,4,42.42857143,13.3,7.9,14.0,490.9275102272947
380,Micron Technology 8KTF25664HZ-1G6M1 2GB,2,26.0,12.1,6.9,6.0,797.7911623008538
381,Micron Technology 8KTF51264AZ-1G6E1 4GB,4,27.0,13.2,7.7,13.7,768.806691505085
382,Micron Technology 8KTF51264AZ-1G6P1 4GB,4,36.0,14.3,8.3,24.5,578.0721428864888
383,Micron Technology 8KTF51264HZ-1G6E2 4GB,4,29.0,12.9,7.7,29.9,716.0400418452999
384,Micron Technology 8KTF51264HZ-1G9E2 4GB,4,24.0,14.7,10.3,14.9,865.3436554949833
385,Micron Technology 16KTF51264HZ-1G6M1 4GB,4,42.0,11.9,8.6,48.0,495.8481830519904
