Intel® Atom™ Processor X Series,Mobile,x7-Z8750,Launched,Q1'16,14 nm,$37.00 ,4,4,1.60 GHz,,2 MB,,,No,Yes,8 GB,LPDDR3 1600,2,25.6 GB/s,,,200 MHz,600 MHz,8 GB,,,3840x2160,,2560x1600,,,2,"2x1, 1x2",2,90°C,,Yes,Yes,64-bit,,,,,,Intel Atom x7-Z8750 @ 1.60GHz,NA,0,1370,NA,704,NA,4,342.48,17-Mar,UTFCBGA1380,Laptop,17-Mar,3/1/2017
Intel® Atom™ Processor Z Series,Mobile,Z2760,End of Interactive Support,Q3'12,32 nm,N/A,2,4,1.80 GHz,,1 MB L2,,,No,Yes,2.4 GB,LPDDR2 800,2,6.4 GB/s,No,,533 MHz,,,,,,,,,,,,,,Yes,No,,32-bit,,,,,,Intel Atom Z2760 @ 1.80GHz,NA,0,576,NA,301,NA,NA,NA,12-Sep,FC-MB4760,Laptop,12-Sep,9/1/2012
Intel® Atom™ Processor Z Series,Mobile,Z3735D,Launched,Q1'14,22 nm,N/A,4,4,1.33 GHz,,2 MB L2,,,No,Yes,2 GB,DDR3L-RS 1333,1,10.6 GB/s,,,311 MHz,,,,,,,,,,,,,,,Yes,Yes,64-bit,,,,,,Intel Atom Z3735D @ 1.33GHz,NA,0,546,NA,477,NA,4.4,124.13,14-Jun,Unknown,Laptop,14-Jun,6/1/2014
Intel® Atom™ Processor Z Series,Mobile,Z3735E,Launched,Q1'14,22 nm,$21.00 ,4,4,1.33 GHz,,2 MB L2,,,No,Yes,1 GB,DDR3L-RS 1333,1,5.3 GB/s,,,311 MHz,,,,,,,,,,,,,,,Yes,Yes,64-bit,,,,,,Intel Atom Z3735E @ 1.33GHz,$117.00*,$117.00 ,563,4.82,490,4.19,4.4,128.05,14-Jun,UTFCBGA1380,Laptop,14-Jun,6/1/2014
Intel® Atom™ Processor Z Series,Mobile,Z3735F,Launched,Q1'14,22 nm,$18.00 ,4,4,1.33 GHz,,2 MB L2,,,No,Yes,2 GB,DDR3L-RS 1333,1,10.6 GB/s,,,311 MHz,,,,,,,,,,,,,,,Yes,Yes,64-bit,,,,,,Intel Atom Z3735F @ 1.33GHz,$500.00*,$500.00 ,531,1.06,395,0.79,4.4,120.6,14-Aug,UTFCBGA592,Laptop,14-Aug,8/1/2014
Intel® Atom™ Processor Z Series,Mobile,Z3735G,Launched,Q1'14,22 nm,$17.00 ,4,4,1.33 GHz,,2 MB L2,,,No,Yes,1 GB,DDR3L-RS 1333,1,5.3 GB/s,,,311 MHz,,,,,,,,,,,,,,,Yes,Yes,64-bit,,,,,,Intel Atom Z3735G @ 1.33GHz,NA,0,547,NA,462,NA,4.4,124.37,14-Oct,Unknown,Laptop,14-Oct,10/1/2014
Intel® Atom™ Processor Z Series,Mobile,Z3736F,Launched,Q2'14,22 nm,$20.00 ,4,4,1.33 GHz,,2 MB L2,,,No,Yes,2 GB,DDR3L-RS 1333,1,10.6 GB/s,,,313 MHz,,,,,,,,,,,,,,,Yes,Yes,64-bit,,,,,,Intel Atom Z3736F @ 1.33GHz,NA,0,513,NA,422,NA,4.4,116.51,14-Oct,UTFCBGA592,Laptop,14-Oct,10/1/2014
Intel® Atom™ Processor Z Series,Mobile,Z3740,End of Interactive Support,Q3'13,22 nm,N/A,4,4,1.33 GHz,,2 MB L2,,,No,Yes,4 GB,LPDDR3 1066,2,17.1 GB/s,No,,311 MHz,,,,,,,,,,,,,90°C ,,Yes,Yes,64-bit,,,,Yes,,Intel Atom Z3740 @ 1.33GHz,NA,0,626,NA,430,NA,4,156.51,13-Jul,UTFCBGA1380,Laptop,13-Jul,7/1/2013
Intel® Atom™ Processor Z Series,Mobile,Z3740D,End of Interactive Support,Q3'13,22 nm,N/A,4,4,1.33 GHz,,2 MB L2,,,No,Yes,2 GB,DDR3L-RS 1333,1,10.6 GB/s,No,,313 MHz,,,,,,,,,,,,,90°C ,,Yes,Yes,64-bit,,,,Yes,,Intel Atom Z3740D @ 1.33GHz,NA,0,636,NA,443,NA,4.4,144.64,13-Jul,UTFCBGA1380,Laptop,13-Jul,7/1/2013
Intel® Atom™ Processor Z Series,Mobile,Z3745,Launched,Q1'14,22 nm,$30.00 ,4,4,1.33 GHz,,2 MB L2,,,No,Yes,4 GB,LPDDR3 1066,2,17.1 GB/s,No,,311 MHz,,,,,,,,,,,,,90°C,,Yes,Yes,64-bit,,,,,,Intel Atom Z3745 @ 1.33GHz,$30.00*,$30.00 ,619,20.64,445,14.83,4,154.79,14-Feb,UTFCBGA1380,Laptop,14-Feb,2/1/2014
Intel® Atom™ Processor Z Series,Mobile,Z3745D,Launched,Q1'14,22 nm,N/A,4,4,1.33 GHz,,2 MB L2,,,No,Yes,2 GB,DDR3L-RS 1333,1,10.6 GB/s,,,311 MHz,,,,,,,,,,,,,,,Yes,Yes,64-bit,,,,,,Intel Atom Z3745D @ 1.33GHz,NA,0,592,NA,448,NA,4.4,134.58,14-Oct,Unknown,Laptop,14-Oct,10/1/2014
