,name,year,TDP,Price,G3D_Mark,G2D_Mark
315,Quadro 410,2012,38.0,129.0,438.0,322.0
316,Quadro FX 2800M,2010,75.0,49.9,415.0,187.0
317,Radeon HD 4670,2012,59.0,109.9,409.0,173.0
318,Quadro FX 2700M,2009,65.0,99.9,404.0,205.0
319,Quadro FX 1800,2009,59.0,99.9,402.0,264.0
320,GeForce GT 420,2010,50.0,155.0,399.0,218.0
321,Quadro FX 3700,2010,78.0,89.9,384.0,304.0
322,Radeon HD 6490M,2011,-1.0,1193.0,378.0,514.0
323,GeForce GT 620,2012,30.0,39.9,373.0,175.0
324,GeForce 9600 GSO,2009,84.0,49.9,370.0,303.0
325,Radeon HD 5550,2010,39.0,54.9,363.0,191.0
326,FirePro 3D V3750,2009,48.0,50.8,341.0,467.0
327,FirePro RG220,2011,35.0,650.1,335.0,552.0
328,Radeon R5 310,2015,-1.0,499.0,332.0,545.0
329,GeForce GT 230,2009,-1.0,43.9,327.0,270.0
330,Intel HD 4000,2012,-1.0,1592.9,325.0,175.0
331,GeForce 605,2012,-1.0,109.9,324.0,529.0
332,NVS 315,2014,19.5,59.9,319.0,309.0
333,Quadro FX 3500,2009,80.0,68.9,319.0,204.0
334,Radeon R5 235,2014,35.0,60.1,313.0,346.0
335,Quadro FX 3500M,2009,45.0,99.9,306.0,309.0
336,Radeon HD 6380G,2012,35.0,399.9,300.0,234.0
337,Quadro FX 770M,2009,35.0,527.0,297.0,339.0
338,GeForce GT 610,2012,29.0,74.9,294.0,129.0
339,Radeon HD 8490,2014,35.0,59.6,293.0,320.0
340,GeForce GT 520M,2012,12.0,29.9,288.0,91.0
341,GeForce GT 520,2011,29.0,74.9,286.0,128.0
342,GeForce 8600 GTS,2012,75.0,70.0,284.0,410.0
343,Radeon HD 8350,2013,4.4,23.1,266.0,714.0
344,GeForce 7950 GT,2011,-1.0,299.9,265.0,382.0
345,NVS 4200M,2012,-1.0,399.0,264.0,104.0
346,Radeon HD 4650,2011,48.0,124.9,257.0,189.0
347,Intel HD 3000,2012,-1.0,945.0,255.0,133.0
348,Radeon HD 6470M,2012,-1.0,569.9,245.0,100.0
349,GeForce 7800 GT,2009,-1.0,80.0,244.0,273.0
350,NVS 310,2012,19.5,59.9,244.0,337.0
351,Quadro FX 5500,2009,96.0,315.9,242.0,394.0
352,Radeon R5 230,2018,-1.0,59.9,242.0,503.0
353,GeForce 510,2011,25.0,69.9,238.0,281.0
354,Radeon HD 7450,2012,18.0,49.9,238.0,232.0
355,Radeon HD 4550,2012,20.0,126.9,236.0,429.0
356,Radeon HD 5450,2012,19.1,98.6,231.0,433.0
357,FirePro 2270,2012,17.0,144.9,227.0,553.0
358,GT 430,2013,-1.0,142.8,223.0,325.0
359,HD6450,2016,-1.0,39.9,221.0,417.0
360,Quadro FX 2500M,2009,45.0,17.5,218.0,272.0
361,FirePro 2460,2012,17.0,83.9,216.0,573.0
362,GeForce GT 220,2012,58.0,39.9,216.0,169.0
363,Quadro FX 1600M,2009,50.0,149.9,214.0,316.0
364,GeForce GT 120,2009,50.0,29.9,206.0,289.0
365,Quadro FX 4500,2009,109.0,230.3,205.0,265.0
366,GeForce 7950 GX2,2009,-1.0,54.9,202.0,413.0
