,name,year,TDP,price,G3DMark,G2DMark
405,GeForce G100,2012,-1,19.9,99,356
406,Quadro NVS 420,2009,-1,335.2,99,534
407,GeForce 9300GE,2009,-1,18,98,367
408,Radeon 3000,2012,-1,319,98,414
409,GeForce 210,2009,30.5,38.97,97,104
410,GeForce 8300,2009,-1,22.6,92,330
411,GeForce 9300 GS,2009,-1,59.9,92,324
412,Quadro NVS 290,2009,-1,45,91,401
413,Quadro NVS 295,2009,23,71.38,91,303
414,Radeon X1650 Pro,2010,44,160.8,85,241
415,Quadro FX 370,2009,35,125,84,385
416,GeForce 9300M GS,2009,13,19.9,83,182
417,GeForce 8400M GS,2009,11,14.9,82,249
418,Quadro FX 540,2009,35,59.9,81,294
419,GeForce 9300 GE,2009,-1,22.9,79,241
420,Radeon 3100,2012,-1,164.99,74,228
421,Radeon HD 3450,2011,25,44.9,74,103
422,Quadro NVS 450,2009,-1,139.9,73,345
423,ION,2009,-1,229.9,71,70
424,GeForce 6600,2009,-1,149.9,70,169
425,Quadro FX 3000,2009,-1,166.6,69,178
426,Radeon X1550,2009,27,113,67,253
427,Quadro FX 550,2009,25,149,64,325
428,Radeon 2100,2009,-1,121,60,286
429,RADEON 9800,2010,-1,210.5,58,191
430,Radeon X1300,2009,-1,16.9,58,237
431,GeForce 7300 LE,2012,-1,32,56,285
432,FirePro 2450,2010,36,278,51,482
433,FireMV 2250,2009,-1,105.9,46,290
434,GeForce 6200,2009,-1,39.9,44,163
435,Quadro NVS 285 128MB,2009,-1,55,38,313
436,Quadro NVS 440,2009,-1,124.9,38,358
437,FireMV 2200 PCIe,2011,-1,89.9,36,259
438,Quadro FX 1100,2009,-1,212.9,36,178
439,RADEON 9500,2011,-1,40.5,36,173
440,Quadro NVS 285,2012,-1,27.9,35,334
441,RADEON 9550,2009,-1,31.8,35,145
442,GeForce 6200 LE,2012,-1,41.2,31,105
443,GeForce 6150,2012,-1,299.4,22,250
444,GeForce FX 5200,2010,-1,69.9,8,154
445,GeForce FX 5500,2009,-1,36.9,8,152
446,Quadro NVS 280 PCI,2009,-1,59.5,8,261
447,GeForce FX 5200LE,2009,-1,42.9,7,170
448,GeForce4 Ti 4600,2009,-1,53.9,6,173
449,GeForce 256,2009,-1,42,5,201
450,Quadro4 980 XGL,2009,-1,341.4,5,181
451,GeForce 6200A,2014,-1,54.9,4,117
452,RADEON 9200,2009,-1,39.9,4,135
453,Matrox Parhelia 128MB,2009,-1,549.9,3,107
454,RADEON 7200,2011,-1,599.9,3,94
455,RADEON 7500,2012,-1,32.1,3,35
456,RADEON 9250,2009,-1,79.9,3,127
457,Dell 8100,2012,-1,999.1,2,58
