,name,year,TDP,Price,CPU_Mark,Thread_Mark
289,AMD Opteron 4274 HE,2012,65.0,39.9,5776,1060
290,AMD Sempron X2 190,2012,45.0,83.4,865,930
291,AMD Athlon II X2 B28,2012,65.0,49.0,1174,1293
292,AMD Opteron 270,2012,95.0,249.95,1170,633
293,AMD Opteron 3280,2012,65.0,273.1,3765,1111
294,AMD A10-5800K APU,2012,100.0,59.95,2873,1459
295,AMD A4-5300 APU,2012,65.0,26.95,1192,1166
296,AMD A6-5400K APU,2012,65.0,22.96,1284,1249
297,AMD A8-5600K APU,2012,100.0,49.95,2700,1404
298,AMD FX-6300 Six-Core,2012,95.0,70.0,4114,1475
299,AMD FX-8320 Eight-Core,2012,125.0,169.95,5284,1460
300,AMD FX-8350 Eight-Core,2012,125.0,199.95,5941,1564
301,AMD Athlon X4 740 Quad Core,2012,65.0,277.0,2706,1401
302,AMD Athlon X4 750K Quad Core,2012,100.0,76.9,2592,1336
303,AMD A4-5300B APU,2012,65.0,25.95,1196,1280
304,AMD FX-4130 Quad-Core,2012,125.0,68.86,2654,1300
305,AMD FX-4300 Quad-Core,2012,95.0,69.95,2979,1498
306,AMD FX-8300 Eight-Core,2013,95.0,149.95,5338,1496
307,AMD FX-B4150 Quad-Core,2013,95.0,89.68,3114,1435
308,AMD Opteron 4284,2013,95.0,59.9,4311,1189
309,AMD Opteron 6282 SE,2013,140.0,630.1,5901,960
310,AMD Opteron 8439 SE,2013,105.0,52.0,3813,908
311,AMD A8-5500B APU,2013,65.0,54.95,2649,1359
312,AMD Athlon II X2 280,2013,65.0,76.8,1140,1264
313,AMD Opteron 2435,2013,75.0,14.98,4709,913
314,AMD Opteron 6276,2013,115.0,199.0,5714,1097
315,AMD Opteron 3380,2013,65.0,809.0,4109,1094
316,AMD A10-5750M APU,2013,35.0,53.0,1894,1129
317,AMD A4-4000 APU,2013,65.0,34.9,1128,1141
318,AMD FX-6350 Six-Core,2013,125.0,99.95,4439,1552
319,AMD Opteron 2222,2013,95.0,19.0,1844,951
320,AMD Opteron 6174,2013,115.0,15.0,5688,751
321,AMD Opteron 6212,2013,115.0,269.7,3739,994
322,AMD Opteron 6348,2013,115.0,296.2,9151,1266
323,AMD A10-6700 APU,2013,65.0,79.95,3121,1652
324,AMD A10-6800K APU,2013,100.0,149.95,3186,1609
325,AMD A8-6600K APU,2013,100.0,74.95,2960,1498
326,AMD FX-4350 Quad-Core,2013,125.0,98.68,3406,1647
327,AMD Opteron 6136,2013,115.0,22.5,5202,844
328,AMD A10-5800B APU,2013,100.0,59.95,2850,1529
329,AMD A6-5350M APU,2013,35.0,33.1,1090,1077
330,AMD A6-6400K APU,2013,65.0,39.95,1378,1366
331,AMD Athlon X2 340 Dual Core,2013,65.0,49.9,1313,1297
332,AMD FX-9370 Eight-Core,2013,220.0,298.68,6033,1667
333,AMD Opteron 6220,2013,115.0,19.0,4392,1211
334,AMD Opteron 6328,2013,115.0,1454.0,5053,1359
335,AMD Opteron 6344,2013,115.0,394.9,6032,1216
336,AMD A8-6500 APU,2013,65.0,148.86,2606,1438
337,AMD Athlon X4 760K Quad Core,2013,100.0,69.95,3043,1584
338,AMD FX-9590 Eight-Core,2013,220.0,221.0,6625,1802
339,AMD Opteron 6376,2013,115.0,55.1,5538,1151
340,AMD Opteron 2354,2013,115.0,60.0,1558,909
341,AMD A4-6300 APU,2013,65.0,27.94,1337,1302
342,AMD A6-5400B APU,2013,65.0,28.94,1423,1408
343,AMD A10-6790K APU,2013,100.0,99.95,2841,1532
344,AMD A4-6300B APU,2013,65.0,27.95,1471,1490
345,AMD FX-4200 Quad-Core,2013,125.0,59.95,3157,1315
346,AMD A10-7700K APU,2014,95.0,119.99,3191,1451
347,AMD A10-7850K APU,2014,95.0,149.95,3271,1445
348,AMD Opteron 4280,2014,95.0,50.0,4162,1149
349,AMD A8-6500T APU,2014,45.0,59.9,1784,1025
350,AMD Athlon 5350 APU,2014,25.0,79.99,1791,706
351,AMD Athlon X2 280,2014,65.0,33.4,1307,1198
352,AMD A4-6320 APU,2014,65.0,69.9,1457,1467
353,AMD A8-6500B APU,2014,65.0,49.95,2726,1487
354,AMD Athlon 5150 APU,2014,25.0,69.95,1392,541
355,AMD Opteron 6366 HE,2014,85.0,29.9,4829,783
356,AMD Sempron 2650 APU,2014,25.0,59.95,579,457
357,AMD Sempron 3850 APU,2014,25.0,79.68,1089,429
358,AMD A10-6700T APU,2014,45.0,147.6,2186,1239
359,AMD A10-7800 APU,2014,65.0,149.86,3063,1417
360,AMD Opteron 4386,2014,95.0,128.6,4351,1000
361,AMD A4-4020 APU,2014,65.0,44.68,881,1027
362,AMD A8-7600 APU,2014,65.0,148.86,3202,1384
363,AMD Opteron 6386 SE,2014,140.0,135.09,6974,1247
364,AMD Opteron 1385,2014,115.0,54.0,1993,1095
365,AMD A4-7300 APU,2014,65.0,29.95,1470,1486
366,AMD Athlon X4 860K,2014,95.0,148.86,3442,1525
367,AMD FX-8370 Eight-Core,2014,125.0,269.99,6140,1633
368,AMD FX-8370E Eight-Core,2014,95.0,295.86,5061,1432
369,AMD A6-6420K APU,2014,65.0,149.9,1545,1550
370,AMD A6-7400K APU,2014,65.0,59.95,1646,1446
