ADATA SSD S511 60GB,59.6 GB,"2,968",1,3001,NA,NA,12-Dec,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SSD+S511+60GB&id=17453#price
ADATA SSD S599 100GB,93.2 GB,"1,120",1,4849,NA,NA,14-Jul,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SSD+S599+100GB&id=7712#price
ADATA SSD S599 128GB,111.8 GB,"1,629",1,4398,NA,NA,14-Mar,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SSD+S599+128GB&id=7052#price
ADATA SSD S599 256GB,223.6 GB,"1,698",3,4349,NA,NA,13-Nov,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SSD+S599+256GB&id=6009#price
ADATA SU600,111.8 GB,"3,531",6,2086,NA,NA,17-Oct,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU600&id=14780#price
ADATA SU630,894.3 GB,"3,357",15,2371,NA,NA,19-Apr,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU630&id=23364#price
ADATA SU630,447.1 GB,"3,395",24,2307,NA,NA,19-Jan,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU630&id=22712#price
ADATA SU630,223.6 GB,"3,943",59,1484,$39.93 ,98.75,19-Jan,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU630&id=22572#price
ADATA SU635,223.6 GB,"3,473",18,2191,$29.99 ,115.81,19-Apr,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU635&id=23487#price
ADATA SU635,447.1 GB,"3,985",8,1427,NA,NA,19-May,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU635&id=23624#price
ADATA SU650,223.6 GB,"3,220",58,2611,NA,NA,17-Oct,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU650&id=20888#price
ADATA SU650,236 GB,"3,903",52,1525,NA,NA,18-May,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU650&id=21936#price
ADATA SU650,111.8 GB,"2,845",60,3185,$37.99*,74.88,17-Oct,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU650&id=14790#price
ADATA SU650,447.1 GB,"5,152",25,774,$64.54 ,79.83,18-Dec,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU650&id=20236#price
ADATA SU650,894.3 GB,"3,659",12,1884,NA,NA,18-Jun,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU650&id=22020#price
ADATA SU650NS38,223.6 GB,"2,771",5,3298,NA,NA,19-Oct,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU650NS38&id=24676#price
ADATA SU650NS38,447.1 GB,"3,979",5,1433,NA,NA,20-Jan,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU650NS38&id=25270#price
ADATA SU655,223.6 GB,"2,938",40,3054,NA,NA,18-Sep,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU655&id=22211#price
ADATA SU655,447.1 GB,"3,308",28,2468,NA,NA,18-Aug,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU655&id=22137#price
ADATA SU655,111.8 GB,"2,357",43,3811,$22.99 ,102.52,18-Aug,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU655&id=16319#price
ADATA SU655,894.3 GB,"3,856",5,1599,NA,NA,19-Feb,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU655&id=23029#price
ADATA SU700,111.8 GB,"2,409",6,3756,$22.00*,109.51,17-May,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU700&id=14253#price
ADATA SU700,223.6 GB,"2,218",21,3952,NA,NA,17-Oct,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU700&id=21474#price
ADATA SU750,238.5 GB,"4,233",5,1157,$37.99 ,111.42,19-Jul,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU750&id=24123#price
ADATA SU750,953.9 GB,"3,644",6,1908,NA,NA,19-Jul,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU750&id=23998#price
ADATA SU750,476.9 GB,"4,177",12,1216,$83.99*,49.73,19-May,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU750&id=23578#price
ADATA SU800 M.2 SSD 1TB,953.9 GB,"4,932",6,805,NA,NA,19-Jan,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU800+M.2+SSD+1TB&id=22614#price
ADATA SU800 M.2 SSD 256GB,238.5 GB,"4,384",10,1028,$37.99*,115.39,17-Jan,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU800+M.2+SSD+256GB&id=13622#price
ADATA SU800 M.2 SSD 512GB,476.9 GB,"4,615",10,909,$124.99*,36.92,17-May,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU800+M.2+SSD+512GB&id=21301#price
ADATA SU800 SSD 128GB,119.2 GB,"3,296",33,2485,$29.99*,109.9,17-Apr,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU800+SSD+128GB&id=14140#price
ADATA SU800 SSD 1TB,953.9 GB,"4,505",15,958,$164.09 ,27.45,17-Feb,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU800+SSD+1TB&id=21134#price
ADATA SU800 SSD 256GB,238.5 GB,"3,907",47,1516,$37.99*,102.85,16-Oct,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU800+SSD+256GB&id=12889#price
ADATA SU800 SSD 512GB,476.9 GB,"4,177",27,1214,$59.99*,69.64,16-Nov,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU800+SSD+512GB&id=20909#price
ADATA SU900,476.9 GB,"4,064",15,1330,NA,NA,18-Feb,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU900&id=21797#price
ADATA SU900,238.5 GB,"3,844",72,1618,$94.22*,40.8,17-Apr,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU900&id=14054#price
ADATA SU900,119.2 GB,"3,923",24,1501,$79.99*,49.04,18-Jan,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU900&id=21700#price
ADATA SX 910,119.2 GB,"3,672",5,1867,NA,NA,14-Jan,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SX+910&id=18869#price
ADATA SX 930,111.8 GB,"2,476",7,3674,NA,NA,16-Jan,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SX+930&id=20332#price
ADATA SX 930,223.6 GB,"3,288",8,2502,NA,NA,15-Oct,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SX+930&id=10500#price
ADATA SX300,119.2 GB,"3,212",10,2619,$172.21*,18.65,13-Dec,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SX300&id=6416#price
ADATA SX300,59.6 GB,"2,234",26,3939,NA,NA,12-Dec,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SX300&id=17426#price
ADATA SX300,238.5 GB,"3,056",31,2851,NA,NA,13-Jan,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SX300&id=17824#price
ADATA SX6000LNP,238.5 GB,"8,571",23,607,NA,NA,19-Feb,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SX6000LNP&id=22864#price
ADATA SX6000LNP,476.9 GB,"12,737",24,349,NA,NA,19-Mar,HDD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SX6000LNP&id=23137#price
ADATA SX6000LNP,953.9 GB,"12,369",16,368,NA,NA,19-May,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SX6000LNP&id=23623#price
ADATA SX6000LNP,119.2 GB,"9,013",21,579,NA,NA,19-Feb,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SX6000LNP&id=23040#price
